No,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,Date_Time,Age_Bin,Day,Part_of_day,PROMO
170,malay,female,thin,52,no,no_kids,big,pink,casual,red,short_sleeve,black,long,clothes,5,9,no,2015-10-24 13:37:15,52-55,Saturday,Afternoon,NO
171,malay,male,fat,50,no,no_kids,big,white,casual,green,long sleeve,white,long,clothes,4,8,no,2015-10-24 13:37:15,48-51,Saturday,Afternoon,NO
172,malay,male,moderate,31,no,no_kids,big,red,casual,brown,short_sleeve,white,long,clothes,4,10,no,2015-10-24 14:07:01,28-31,Saturday,Afternoon,NO
173,indian,female,moderate,54,no,no_kids,small,white,casual,pink,short_sleeve,black,long,clothes,5,10,no,2015-10-24 14:28:38,52-55,Saturday,Afternoon,YES
174,foreigner,male,thin,47,no,no_kids,big,pink,casual,blue,short_sleeve,black,long,clothes,6,7,no,2015-10-24 14:39:02,44-47,Saturday,Afternoon,NO
175,chinese,male,moderate,39,no,no_kids,big,black,casual,red,short_sleeve,black,short,clothes,3,9,yes,2015-10-24 14:51:31,36-39,Saturday,Afternoon,NO
176,indian,female,thin,50,no,no_kids,big,black,casual,brown,short_sleeve,black,long,clothes,4,8,no,2015-10-24 14:55:41,48-51,Saturday,Afternoon,NO
177,indian,male,fat,34,no,no_kids,big,white,formal,orange,long sleeve,black,long,blankets,4,7,yes,2015-10-24 15:01:59,32-35,Saturday,Afternoon,NO
178,malay,female,thin,47,no,no_kids,big,blue,casual,blue,short_sleeve,brown,long,blankets,6,8,no,2015-10-24 15:20:20,44-47,Saturday,Afternoon,NO
179,malay,male,fat,40,no,no_kids,big,blue,casual,black,short_sleeve,blue,long,clothes,5,10,no,2015-10-24 15:30:07,40-43,Saturday,Afternoon,NO
180,chinese,female,thin,51,no,no_kids,big,red,formal,white,short_sleeve,black,long,clothes,3,8,no,2015-10-24 15:30:07,48-51,Saturday,Afternoon,NO
181,chinese,male,moderate,37,no,no_kids,big,white,casual,black,short_sleeve,blue,long,clothes,4,7,yes,2015-10-24 15:30:07,36-39,Saturday,Afternoon,NO
182,foreigner,female,moderate,40,no,no_kids,big,green,formal,red,long sleeve,blue,long,clothes,5,10,no,2015-10-24 17:07:48,40-43,Saturday,Afternoon,NO
183,indian,female,thin,54,yes,young,big,red,casual,white,short_sleeve,black,long,clothes,5,7,no,2015-10-24 17:07:48,52-55,Saturday,Afternoon,NO
184,indian,female,moderate,35,no,no_kids,big,black,casual,grey,short_sleeve,blue,short,clothes,6,10,no,2015-10-24 17:32:53,32-35,Saturday,Afternoon,NO
185,indian,female,moderate,49,no,no_kids,big,blue,casual,blue,short_sleeve,blue,long,clothes,3,7,no,2015-10-24 18:56:36,48-51,Saturday,Evening,NO
186,indian,female,thin,39,no,no_kids,big,black,casual,white,long sleeve,black,long,blankets,5,10,yes,2015-10-24 19:02:34,36-39,Saturday,Evening,NO
187,malay,male,thin,41,no,no_kids,big,red,casual,red,short_sleeve,black,long,clothes,3,7,yes,2015-10-24 19:39:23,40-43,Saturday,Evening,NO
188,chinese,female,moderate,40,no,no_kids,big,grey,casual,black,short_sleeve,white,long,clothes,4,10,no,2015-10-24 19:39:23,40-43,Saturday,Evening,NO
189,malay,male,thin,41,no,no_kids,big,blue,casual,black,short_sleeve,blue,long,blankets,4,9,no,2015-10-24 20:03:39,40-43,Saturday,Evening,NO
190,chinese,female,thin,51,no,no_kids,big,blue,casual,black,short_sleeve,white,long,clothes,4,8,no,2015-10-24 20:07:19,48-51,Saturday,Evening,NO
191,malay,male,fat,29,no,no_kids,big,pink,casual,grey,long sleeve,blue,long,clothes,3,8,yes,2015-10-24 20:59:01,28-31,Saturday,Evening,NO
192,malay,female,fat,45,no,no_kids,big,black,casual,blue,short_sleeve,black,long,clothes,5,7,no,2015-10-24 20:59:01,44-47,Saturday,Evening,NO
193,malay,female,fat,54,no,no_kids,big,white,casual,blue,short_sleeve,brown,long,clothes,3,7,yes,2015-10-24 20:59:01,52-55,Saturday,Evening,NO
194,indian,male,thin,45,no,no_kids,big,white,casual,red,short_sleeve,green,long,clothes,6,9,no,2015-10-24 21:06:04,44-47,Saturday,Evening,NO
195,malay,female,fat,39,no,no_kids,big,grey,casual,red,long sleeve,grey,long,clothes,6,9,no,2015-10-24 21:12:32,36-39,Saturday,Evening,NO
196,malay,female,thin,53,no,no_kids,small,black,casual,grey,short_sleeve,brown,short,clothes,5,8,yes,2015-10-24 21:12:32,52-55,Saturday,Evening,YES
197,malay,female,thin,37,no,no_kids,big,blue,casual,red,long sleeve,grey,long,clothes,4,8,no,2015-10-24 21:45:54,36-39,Saturday,Evening,NO
198,malay,male,fat,50,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,7,yes,2015-10-24 21:45:54,48-51,Saturday,Evening,NO
199,chinese,female,thin,34,no,no_kids,big,orange,formal,white,short_sleeve,blue,long,clothes,6,8,no,2015-10-24 23:32:46,32-35,Saturday,Evening,NO
200,indian,male,thin,46,no,no_kids,big,blue,casual,blue,short_sleeve,brown,short,blankets,4,10,no,2015-10-24 23:40:46,44-47,Saturday,Evening,NO
201,chinese,male,thin,33,no,no_kids,big,black,casual,white,short_sleeve,blue,short,clothes,3,8,no,2015-10-24 23:47:35,32-35,Saturday,Evening,NO
202,malay,male,fat,41,no,no_kids,big,black,casual,red,short_sleeve,black,long,blankets,4,7,no,2015-10-25 00:08:09,40-43,Sunday,Early Morning,NO
203,malay,male,fat,50,no,no_kids,big,grey,casual,grey,short_sleeve,red,short,clothes,6,10,yes,2015-10-25 00:11:08,48-51,Sunday,Early Morning,NO
204,chinese,female,fat,54,no,no_kids,big,brown,casual,black,short_sleeve,black,long,clothes,3,7,no,2015-10-25 01:29:47,52-55,Sunday,Early Morning,NO
205,chinese,male,moderate,38,no,no_kids,big,red,casual,white,short_sleeve,blue,long,clothes,4,10,yes,2015-10-25 08:15:00,36-39,Sunday,Morning,NO
206,chinese,female,thin,30,no,no_kids,big,blue,casual,pink,short_sleeve,pink,short,clothes,3,10,yes,2015-10-25 08:15:00,28-31,Sunday,Morning,YES
207,malay,male,fat,54,no,no_kids,small,red,casual,orange,short_sleeve,blue,long,clothes,4,8,yes,2015-10-25 08:17:23,52-55,Sunday,Morning,YES
208,malay,female,moderate,47,no,no_kids,big,purple,casual,blue,long sleeve,black,long,clothes,6,10,yes,2015-10-26 08:40:01,44-47,Monday,Morning,NO
209,malay,male,thin,29,no,no_kids,small,red,casual,orange,short_sleeve,white,long,clothes,6,9,yes,2015-10-26 08:40:01,28-31,Monday,Morning,YES
210,malay,female,fat,48,no,no_kids,big,white,casual,purple,long sleeve,pink,long,clothes,5,8,no,2015-10-26 08:40:01,48-51,Monday,Morning,YES
211,malay,male,moderate,41,yes,baby,big,green,casual,black,short_sleeve,grey,long,clothes,3,9,no,2015-10-26 08:40:01,40-43,Monday,Morning,NO
212,indian,male,moderate,41,no,no_kids,big,white,casual,black,short_sleeve,blue,long,clothes,6,7,no,2015-10-26 09:15:05,40-43,Monday,Morning,NO
213,chinese,female,moderate,42,no,no_kids,small,black,casual,purple,short_sleeve,purple,long,clothes,6,8,no,2015-10-29 21:19:48,40-43,Thursday,Evening,YES
214,indian,female,fat,32,no,no_kids,big,black,casual,red,short_sleeve,brown,short,clothes,5,10,no,2015-10-29 21:28:23,32-35,Thursday,Evening,NO
215,malay,male,fat,35,no,no_kids,small,green,casual,grey,long sleeve,blue,short,clothes,3,8,no,2015-10-29 21:28:23,32-35,Thursday,Evening,YES
216,foreigner,female,fat,45,no,no_kids,big,purple,casual,green,short_sleeve,black,long,clothes,6,10,no,2015-10-29 21:30:29,44-47,Thursday,Evening,NO
217,indian,male,fat,35,yes,young,big,black,formal,pink,short_sleeve,grey,long,clothes,6,9,no,2015-10-29 21:49:52,32-35,Thursday,Evening,YES
218,malay,female,fat,47,no,no_kids,big,grey,casual,black,long sleeve,white,long,clothes,4,10,no,2015-10-29 21:59:25,44-47,Thursday,Evening,NO
219,chinese,male,fat,34,no,no_kids,big,black,casual,brown,short_sleeve,grey,short,clothes,6,8,no,2015-10-29 21:59:25,32-35,Thursday,Evening,NO
220,malay,female,moderate,44,no,no_kids,big,white,casual,black,long sleeve,black,long,clothes,6,7,no,2015-10-29 21:59:25,44-47,Thursday,Evening,NO
221,indian,male,fat,38,no,no_kids,big,red,casual,blue,short_sleeve,white,long,clothes,6,10,no,2015-10-29 22:38:51,36-39,Thursday,Evening,NO
222,malay,male,thin,49,no,no_kids,big,green,formal,grey,long sleeve,black,long,clothes,5,8,no,2015-10-30 18:53:06,48-51,Friday,Evening,NO
223,indian,female,fat,47,no,no_kids,big,red,casual,black,short_sleeve,blue,long,clothes,4,10,no,2015-11-01 06:44:39,44-47,Sunday,Morning,NO
224,malay,female,thin,48,no,no_kids,big,blue,casual,pink,long sleeve,green,long,clothes,6,10,yes,2015-11-01 07:15:46,48-51,Sunday,Morning,NO
225,indian,male,thin,52,no,no_kids,big,yellow,casual,red,short_sleeve,purple,short,clothes,4,8,no,2015-11-01 07:49:27,52-55,Sunday,Morning,YES
226,malay,male,fat,29,yes,young,big,black,casual,white,short_sleeve,blue,long,clothes,6,9,no,2015-11-01 08:07:53,28-31,Sunday,Morning,NO
227,indian,male,thin,44,no,no_kids,big,white,formal,orange,long sleeve,black,long,clothes,3,9,no,2015-11-02 13:32:51,44-47,Monday,Afternoon,NO
228,indian,male,moderate,50,no,no_kids,big,black,casual,black,short_sleeve,black,long,clothes,6,10,no,2015-11-02 13:54:53,48-51,Monday,Afternoon,NO
229,malay,female,fat,34,no,no_kids,big,red,casual,grey,short_sleeve,black,long,clothes,3,7,no,2015-11-02 14:29:06,32-35,Monday,Afternoon,NO
230,malay,female,thin,53,no,no_kids,big,white,formal,black,long sleeve,black,long,clothes,6,7,no,2015-11-02 14:40:43,52-55,Monday,Afternoon,NO
231,malay,male,fat,47,no,no_kids,small,white,casual,white,short_sleeve,white,short,clothes,6,8,no,2015-11-02 14:50:13,44-47,Monday,Afternoon,NO
232,malay,male,moderate,53,no,no_kids,big,orange,casual,black,short_sleeve,grey,long,clothes,3,7,no,2015-11-02 14:50:13,52-55,Monday,Afternoon,NO
233,indian,female,thin,36,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,4,8,no,2015-11-02 15:15:59,36-39,Monday,Afternoon,NO
234,indian,male,thin,43,no,no_kids,big,blue,casual,black,short_sleeve,grey,long,clothes,3,7,no,2015-11-02 15:20:26,40-43,Monday,Afternoon,NO
235,malay,female,fat,44,no,no_kids,big,red,traditional,purple,long sleeve,white,long,clothes,6,9,yes,2015-11-02 17:19:17,44-47,Monday,Afternoon,YES
236,malay,female,fat,48,no,no_kids,big,red,traditional,red,long sleeve,red,long,clothes,5,9,yes,2015-11-02 17:23:07,48-51,Monday,Afternoon,NO
237,malay,female,fat,55,no,no_kids,big,red,traditional,purple,long sleeve,purple,long,clothes,3,7,no,2015-11-02 17:23:07,52-55,Monday,Afternoon,YES
238,malay,female,thin,29,no,no_kids,big,pink,traditional,purple,long sleeve,purple,long,clothes,5,10,yes,2015-11-02 17:43:38,28-31,Monday,Afternoon,YES
239,indian,female,thin,28,no,no_kids,big,orange,casual,green,short_sleeve,black,long,blankets,4,8,no,2015-11-02 17:47:23,28-31,Monday,Afternoon,YES
240,malay,male,fat,35,no,no_kids,big,blue,casual,black,short_sleeve,grey,long,clothes,5,9,no,2015-11-02 18:06:43,32-35,Monday,Evening,NO
241,foreigner,male,moderate,46,no,no_kids,big,brown,casual,green,long sleeve,blue,long,clothes,6,7,no,2015-11-02 18:18:21,44-47,Monday,Evening,NO
242,indian,male,thin,50,no,no_kids,big,red,casual,orange,short_sleeve,black,long,clothes,5,7,no,2015-11-02 18:39:35,48-51,Monday,Evening,NO
243,malay,female,thin,33,no,no_kids,small,pink,traditional,red,long sleeve,purple,long,clothes,3,10,no,2015-11-02 18:39:35,32-35,Monday,Evening,YES
244,malay,female,moderate,34,no,no_kids,big,black,casual,blue,long sleeve,black,long,clothes,6,7,no,2015-11-02 19:00:24,32-35,Monday,Evening,NO
245,malay,male,fat,40,no,no_kids,big,blue,casual,black,short_sleeve,grey,long,clothes,5,9,no,2015-11-02 19:02:13,40-43,Monday,Evening,NO
246,malay,female,fat,33,no,no_kids,big,blue,casual,grey,long sleeve,grey,long,clothes,3,7,no,2015-11-02 19:00:14,32-35,Monday,Evening,NO
247,indian,female,moderate,52,no,no_kids,big,purple,casual,orange,short_sleeve,black,short,clothes,5,8,no,2015-11-02 19:14:08,52-55,Monday,Evening,YES
248,chinese,male,fat,54,no,no_kids,big,blue,casual,red,short_sleeve,white,short,clothes,3,7,no,2015-11-02 19:14:08,52-55,Monday,Evening,NO
249,malay,female,moderate,38,no,no_kids,big,blue,casual,white,short_sleeve,red,short,clothes,3,10,no,2015-11-02 19:35:06,36-39,Monday,Evening,NO
250,foreigner,male,thin,39,no,no_kids,small,brown,casual,grey,short_sleeve,brown,short,clothes,5,10,no,2015-11-02 19:36:41,36-39,Monday,Evening,YES
251,foreigner,male,moderate,35,no,no_kids,big,green,casual,green,short_sleeve,blue,long,clothes,3,8,no,2015-11-02 19:49:45,32-35,Monday,Evening,NO
252,malay,male,fat,52,no,no_kids,big,brown,traditional,grey,long sleeve,brown,long,clothes,6,9,yes,2015-11-02 20:11:16,52-55,Monday,Evening,YES
253,malay,female,fat,37,no,no_kids,big,grey,casual,green,short_sleeve,black,long,clothes,3,9,no,2015-11-02 20:11:16,36-39,Monday,Evening,NO
254,malay,male,fat,41,no,no_kids,big,white,casual,black,short_sleeve,green,long,clothes,5,10,no,2015-11-02 20:43:51,40-43,Monday,Evening,NO
255,malay,male,fat,45,no,no_kids,big,green,casual,grey,short_sleeve,blue,long,clothes,5,10,yes,2015-11-02 21:21:52,44-47,Monday,Evening,NO
256,malay,female,thin,53,no,no_kids,big,green,formal,white,long sleeve,black,long,clothes,5,10,no,2015-11-02 21:31:46,52-55,Monday,Evening,NO
257,malay,female,thin,39,no,no_kids,big,black,casual,white,short_sleeve,black,long,blankets,4,8,yes,2015-11-02 21:36:02,36-39,Monday,Evening,NO
258,indian,male,moderate,32,no,no_kids,big,white,casual,brown,short_sleeve,grey,long,clothes,6,10,no,2015-11-02 22:08:41,32-35,Monday,Evening,NO
259,malay,female,thin,50,no,no_kids,big,pink,casual,purple,long sleeve,purple,long,clothes,3,8,yes,2015-11-02 22:10:28,48-51,Monday,Evening,YES
260,indian,female,thin,33,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,5,9,no,2015-11-02 23:09:00,32-35,Monday,Evening,NO
261,indian,female,thin,46,no,no_kids,big,white,formal,purple,long sleeve,black,long,clothes,6,7,no,2015-11-02 23:12:22,44-47,Monday,Evening,NO
262,foreigner,female,fat,30,no,no_kids,big,white,traditional,green,short_sleeve,black,long,blankets,3,8,no,2015-11-02 23:14:25,28-31,Monday,Evening,YES
263,chinese,male,thin,55,no,no_kids,big,white,casual,blue,short_sleeve,white,short,clothes,5,10,no,2015-11-03 00:26:16,52-55,Tuesday,Early Morning,NO
264,indian,male,thin,30,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,5,8,no,2015-11-03 00:34:09,28-31,Tuesday,Early Morning,NO
265,chinese,male,fat,34,no,no_kids,big,white,casual,yellow,short_sleeve,brown,long,clothes,5,7,yes,2015-11-03 00:54:05,32-35,Tuesday,Early Morning,NO
266,indian,female,fat,39,no,no_kids,big,blue,formal,black,long sleeve,black,long,clothes,3,10,no,2015-11-03 01:14:32,36-39,Tuesday,Early Morning,NO
267,chinese,female,fat,41,no,no_kids,big,brown,casual,orange,short_sleeve,black,long,clothes,4,10,no,2015-11-03 08:09:27,40-43,Tuesday,Morning,NO
268,foreigner,male,fat,39,no,no_kids,big,blue,casual,grey,short_sleeve,blue,short,clothes,4,7,yes,2015-11-03 08:51:31,36-39,Tuesday,Morning,NO
269,indian,male,moderate,35,no,no_kids,big,red,casual,brown,short_sleeve,blue,short,clothes,3,7,no,2015-11-03 09:20:56,32-35,Tuesday,Morning,NO
270,malay,female,thin,34,no,no_kids,big,blue,formal,orange,long sleeve,blue,long,clothes,4,7,no,2015-11-03 10:39:34,32-35,Tuesday,Morning,NO
271,chinese,male,moderate,55,no,no_kids,big,black,casual,brown,short_sleeve,black,long,clothes,3,7,no,2015-11-03 14:27:01,52-55,Tuesday,Afternoon,NO
272,indian,male,moderate,47,no,no_kids,big,white,casual,red,short_sleeve,grey,long,clothes,3,10,no,2015-11-03 15:22:19,44-47,Tuesday,Afternoon,NO
273,chinese,male,thin,45,no,no_kids,big,red,casual,red,short_sleeve,blue,short,clothes,4,8,no,2015-11-03 17:15:38,44-47,Tuesday,Afternoon,NO
274,malay,female,fat,31,no,no_kids,big,green,traditional,blue,long sleeve,blue,long,clothes,4,8,no,2015-11-03 17:51:32,28-31,Tuesday,Afternoon,NO
275,chinese,female,thin,41,no,no_kids,big,orange,casual,grey,long sleeve,black,long,clothes,3,8,no,2015-11-03 18:47:12,40-43,Tuesday,Evening,NO
276,foreigner,male,thin,42,no,no_kids,big,white,casual,white,short_sleeve,pink,short,clothes,6,9,no,2015-11-03 19:16:59,40-43,Tuesday,Evening,NO
277,foreigner,male,fat,36,no,no_kids,big,white,casual,yellow,short_sleeve,black,long,clothes,5,7,no,2015-11-03 19:37:38,36-39,Tuesday,Evening,NO
278,foreigner,female,fat,54,no,no_kids,big,white,casual,green,long sleeve,white,long,blankets,5,8,no,2015-11-03 19:37:38,52-55,Tuesday,Evening,NO
279,chinese,female,moderate,44,no,no_kids,big,blue,casual,orange,short_sleeve,black,long,clothes,6,10,no,2015-11-03 19:40:43,44-47,Tuesday,Evening,NO
280,malay,female,fat,47,no,no_kids,big,white,casual,red,short_sleeve,brown,long,clothes,5,10,no,2015-11-03 19:40:43,44-47,Tuesday,Evening,NO
281,indian,female,moderate,47,no,no_kids,big,black,casual,red,short_sleeve,black,long,clothes,3,9,no,2015-11-03 19:40:43,44-47,Tuesday,Evening,NO
282,malay,male,fat,29,no,no_kids,big,red,casual,purple,short_sleeve,white,short,clothes,4,8,no,2015-11-03 20:20:31,28-31,Tuesday,Evening,NO
283,malay,female,fat,41,no,no_kids,big,blue,casual,green,short_sleeve,black,long,clothes,6,9,no,2015-11-03 20:22:04,40-43,Tuesday,Evening,NO
284,malay,female,thin,42,no,no_kids,big,grey,casual,blue,short_sleeve,grey,short,clothes,6,10,no,2015-11-03 20:44:37,40-43,Tuesday,Evening,NO
285,malay,female,fat,54,no,no_kids,big,blue,casual,black,short_sleeve,black,long,blankets,3,9,no,2015-11-03 21:13:30,52-55,Tuesday,Evening,NO
286,malay,female,fat,48,no,no_kids,big,black,casual,black,long sleeve,pink,short,clothes,4,8,no,2015-11-03 21:15:51,48-51,Tuesday,Evening,NO
287,chinese,female,thin,41,no,no_kids,big,white,casual,yellow,short_sleeve,black,short,clothes,3,7,no,2015-11-03 21:15:51,40-43,Tuesday,Evening,NO
288,malay,male,fat,29,no,no_kids,big,black,casual,yellow,short_sleeve,grey,long,clothes,5,7,no,2015-11-03 21:26:53,28-31,Tuesday,Evening,NO
289,malay,male,thin,34,no,no_kids,big,red,casual,black,short_sleeve,grey,long,clothes,4,7,yes,2015-11-03 21:30:09,32-35,Tuesday,Evening,NO
290,malay,male,fat,29,yes,young,big,white,casual,yellow,short_sleeve,grey,long,clothes,5,9,no,2015-11-03 21:32:52,28-31,Tuesday,Evening,NO
291,indian,male,moderate,33,no,no_kids,big,red,casual,green,short_sleeve,black,long,clothes,3,10,no,2015-11-03 21:56:30,32-35,Tuesday,Evening,NO
292,malay,female,fat,43,yes,toddler,big,blue,casual,black,short_sleeve,grey,long,clothes,5,9,yes,2015-11-03 21:58:24,40-43,Tuesday,Evening,NO
293,indian,male,moderate,32,no,no_kids,big,red,casual,yellow,short_sleeve,grey,long,clothes,5,8,no,2015-11-03 22:32:11,32-35,Tuesday,Evening,NO
294,malay,male,moderate,29,no,no_kids,big,blue,formal,white,short_sleeve,grey,long,clothes,6,8,no,2015-11-03 22:33:00,28-31,Tuesday,Evening,NO
295,malay,female,thin,48,yes,toddler,big,red,casual,red,short_sleeve,black,long,clothes,3,10,yes,2015-11-03 22:33:00,48-51,Tuesday,Evening,NO
296,chinese,male,fat,54,yes,young,big,pink,casual,grey,short_sleeve,red,long,clothes,4,8,no,2015-11-03 22:42:30,52-55,Tuesday,Evening,NO
297,malay,male,moderate,42,no,no_kids,big,black,casual,grey,long sleeve,green,long,clothes,3,7,no,2015-11-03 22:42:30,40-43,Tuesday,Evening,NO
298,malay,female,fat,35,no,no_kids,big,green,casual,red,short_sleeve,grey,long,clothes,5,7,no,2015-11-03 23:30:29,32-35,Tuesday,Evening,NO
299,malay,female,moderate,40,no,no_kids,big,white,casual,red,short_sleeve,black,long,clothes,3,8,no,2015-11-03 23:30:29,40-43,Tuesday,Evening,NO
300,foreigner,male,moderate,37,no,no_kids,big,red,casual,brown,short_sleeve,white,long,blankets,3,7,no,2015-11-03 23:39:34,36-39,Tuesday,Evening,NO
301,chinese,male,thin,31,no,no_kids,big,orange,casual,white,short_sleeve,grey,long,clothes,4,8,no,2015-11-03 23:54:41,28-31,Tuesday,Evening,NO
302,malay,female,thin,55,no,no_kids,big,purple,casual,white,short_sleeve,black,short,clothes,6,9,no,2015-11-03 23:54:41,52-55,Tuesday,Evening,NO
303,chinese,male,thin,40,no,no_kids,big,white,casual,white,short_sleeve,white,short,clothes,5,7,no,2015-11-03 23:54:41,40-43,Tuesday,Evening,NO
304,indian,male,thin,37,no,no_kids,big,white,casual,black,short_sleeve,blue,long,blankets,6,9,no,2015-11-04 01:21:42,36-39,Wednesday,Early Morning,NO
305,foreigner,male,thin,30,no,no_kids,big,white,casual,grey,short_sleeve,black,long,clothes,4,8,no,2015-11-04 01:35:20,28-31,Wednesday,Early Morning,NO
306,malay,male,moderate,45,no,no_kids,small,white,casual,black,short_sleeve,blue,long,clothes,6,10,no,2015-11-04 01:56:39,44-47,Wednesday,Early Morning,NO
307,foreigner,male,fat,28,no,no_kids,big,green,casual,grey,short_sleeve,blue,long,clothes,6,8,no,2015-11-04 02:39:24,28-31,Wednesday,Early Morning,NO
308,foreigner,female,moderate,44,no,no_kids,big,green,casual,pink,short_sleeve,grey,long,clothes,4,9,no,2015-11-04 02:39:24,44-47,Wednesday,Early Morning,YES
309,indian,male,moderate,33,no,no_kids,big,purple,casual,white,short_sleeve,black,long,clothes,5,10,yes,2015-11-04 03:59:41,32-35,Wednesday,Early Morning,NO
310,malay,male,moderate,32,no,no_kids,big,red,casual,white,short_sleeve,grey,long,blankets,5,9,no,2015-11-04 05:40:28,32-35,Wednesday,Early Morning,NO
311,malay,male,thin,37,no,no_kids,small,white,casual,red,short_sleeve,black,long,clothes,4,9,no,2015-11-04 07:25:24,36-39,Wednesday,Morning,NO
312,malay,male,moderate,39,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,6,9,no,2015-11-04 07:51:40,36-39,Wednesday,Morning,NO
313,indian,male,moderate,35,no,no_kids,big,blue,formal,grey,short_sleeve,brown,long,clothes,6,9,no,2015-11-04 08:47:54,32-35,Wednesday,Morning,NO
314,indian,female,fat,36,no,no_kids,big,blue,traditional,red,short_sleeve,white,long,clothes,6,10,no,2015-11-04 09:12:22,36-39,Wednesday,Morning,NO
315,malay,female,thin,40,yes,toddler,big,blue,traditional,pink,long sleeve,pink,long,clothes,5,9,no,2015-11-04 09:51:50,40-43,Wednesday,Morning,YES
316,foreigner,female,thin,48,no,no_kids,big,black,casual,orange,short_sleeve,blue,long,clothes,6,8,no,2015-11-04 10:00:57,48-51,Wednesday,Morning,NO
317,chinese,female,thin,51,no,no_kids,big,blue,casual,white,short_sleeve,brown,short,clothes,4,9,no,2015-11-04 10:00:57,48-51,Wednesday,Morning,NO
318,malay,male,moderate,28,yes,toddler,big,purple,casual,white,short_sleeve,black,short,clothes,3,7,yes,2015-11-04 10:01:50,28-31,Wednesday,Morning,NO
319,malay,male,thin,44,no,no_kids,big,black,formal,white,short_sleeve,black,long,clothes,3,10,no,2015-11-04 10:29:45,44-47,Wednesday,Morning,NO
320,indian,female,thin,34,no,no_kids,big,red,casual,green,short_sleeve,black,long,blankets,6,8,no,2015-11-04 11:41:09,32-35,Wednesday,Morning,NO
321,chinese,male,moderate,49,no,no_kids,big,white,casual,white,short_sleeve,blue,long,blankets,6,9,no,2015-11-04 11:58:34,48-51,Wednesday,Morning,NO
322,indian,male,moderate,48,no,no_kids,big,white,formal,red,short_sleeve,black,long,clothes,4,7,no,2015-11-04 12:06:55,48-51,Wednesday,Afternoon,NO
323,indian,male,moderate,53,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,4,9,no,2015-11-04 12:07:35,52-55,Wednesday,Afternoon,NO
324,indian,male,moderate,46,no,no_kids,big,blue,casual,green,short_sleeve,blue,long,clothes,4,7,no,2015-11-05 15:26:15,44-47,Thursday,Afternoon,NO
325,indian,male,fat,38,no,no_kids,big,blue,casual,purple,short_sleeve,grey,long,clothes,5,9,no,2015-11-05 15:38:39,36-39,Thursday,Afternoon,NO
326,malay,male,moderate,55,no,no_kids,big,brown,casual,red,short_sleeve,green,short,clothes,6,7,yes,2015-11-05 15:47:02,52-55,Thursday,Afternoon,NO
327,malay,female,thin,37,no,no_kids,big,white,casual,black,long sleeve,blue,long,clothes,5,10,no,2015-11-05 15:52:08,36-39,Thursday,Afternoon,NO
328,chinese,male,thin,37,no,no_kids,big,blue,casual,black,short_sleeve,brown,long,clothes,4,7,no,2015-11-15 06:29:49,36-39,Sunday,Morning,NO
329,indian,male,moderate,31,no,no_kids,big,red,casual,green,short_sleeve,grey,long,clothes,6,7,no,2015-11-15 07:09:32,28-31,Sunday,Morning,NO
330,foreigner,female,moderate,42,no,no_kids,small,blue,traditional,red,long sleeve,red,long,clothes,6,9,no,2015-11-15 07:27:03,40-43,Sunday,Morning,NO
331,foreigner,female,thin,46,no,no_kids,big,red,traditional,orange,long sleeve,green,long,clothes,5,10,no,2015-11-15 07:29:00,44-47,Sunday,Morning,YES
332,malay,male,fat,50,yes,young,big,white,traditional,orange,long sleeve,white,long,clothes,3,7,no,2015-11-15 08:00:24,48-51,Sunday,Morning,YES
333,chinese,male,fat,51,yes,young,big,white,casual,red,short_sleeve,grey,long,blankets,4,9,yes,2015-11-15 08:08:58,48-51,Sunday,Morning,NO
334,indian,male,thin,30,no,no_kids,big,white,casual,grey,short_sleeve,grey,long,clothes,5,7,no,2015-11-15 08:23:09,28-31,Sunday,Morning,NO
335,malay,male,moderate,47,no,no_kids,big,pink,casual,orange,short_sleeve,brown,long,clothes,5,8,no,2015-11-15 08:23:09,44-47,Sunday,Morning,YES
336,foreigner,male,moderate,33,no,no_kids,big,white,casual,blue,short_sleeve,grey,long,clothes,6,7,no,2015-11-15 08:39:05,32-35,Sunday,Morning,NO
337,malay,female,moderate,29,yes,baby,big,pink,casual,black,short_sleeve,blue,long,clothes,4,8,no,2015-11-15 09:04:26,28-31,Sunday,Morning,NO
338,indian,female,moderate,54,no,no_kids,big,white,casual,black,short_sleeve,blue,short,clothes,3,8,no,2015-11-15 09:22:56,52-55,Sunday,Morning,NO
339,indian,male,moderate,35,no,no_kids,big,green,casual,white,short_sleeve,black,short,clothes,3,8,no,2015-11-15 09:23:33,32-35,Sunday,Morning,NO
340,malay,female,moderate,45,yes,toddler,big,brown,casual,black,short_sleeve,blue,long,clothes,5,9,no,2015-11-15 09:38:17,44-47,Sunday,Morning,NO
